sample	Observed diversity	Shannon-Wiener diversity	Normalized Shannon-Wiener index	Inverse Simpson index	Gini index	Chao1 estimate	Efron-Thisted estimate	d50
P7-M2-DPOS.clns	453.0	453.0000000000001	1.0	453.0	1.0022075055187638	102831.0	9513.0	21.0
P7-M2-PD1.clns	560.0	559.9999999999999	1.0	560.0	1.0017857142857143	157080.0	11760.0	14.0
P7-M2-TIGIT.clns	292.0	292.0	1.0	292.0	1.0034246575342465	42778.0	2044.0	8.0
P7-T0-DNEG.clns	286.0	285.99999999999994	1.0	286.0	1.0034965034965035	41041.0	2002.0	2.0
P7-T0-DPOS.clns	366.0	365.9999999999999	1.0	366.0	1.0027322404371584	67161.0	7686.0	8.0
P7-T0-PD1.clns	235.0	235.0	1.0	235.0	1.004255319148936	27730.0	1175.0	5.0
P7-T0-TIGIT.clns	153.0	152.99999999999997	1.0	153.0	1.0065359477124183	11781.0	459.0	2.0
P8-M1-DNEG.clns	809.0	808.9999999999997	1.0	809.0000000000002	1.0012360939431397	327645.0	16989.0	157.0
P8-M1-DPOS.clns	329.0	329.0	1.0	329.0	1.0030395136778116	54285.0	3619.0	3.0
P8-M1-PD1.clns	156.0	156.0	1.0	156.0	1.0064102564102564	12246.0	468.0	20.0
P8-M1-TIGIT.clns	258.0	258.0	1.0	258.0	1.003875968992248	33411.0	1548.0	3.0
P8-M2-DNEG.clns	812.0	812.0	1.0	812.0	1.001231527093596	330078.0	17052.0	93.0
P8-M2-DPOS.clns	223.0	223.00000000000003	1.0	223.0	1.0044843049327354	24976.0	892.0	2.0
P8-M2-PD1.clns	73.0	72.99999999999999	1.0	73.0	1.0136986301369864	2701.0	146.0	6.0
P8-M2-TIGIT.clns	187.0	186.9999999999999	0.9999999999999998	187.00000000000003	1.0053475935828877	17578.0	748.0	5.0
P8-T0-DNEG.clns	1134.0	1133.9999999999998	1.0	1134.0	1.0008818342151675	643545.0	23814.0	207.0
P8-T0-DPOS.clns	345.0	345.00000000000017	1.0	345.0	1.0028985507246377	59685.0	5175.0	9.0
P8-T0-PD1.clns	495.0	495.0	1.0	495.0	1.002020202020202	122760.0	10395.0	21.0
P8-T0-TIGIT.clns	345.0	345.00000000000017	1.0	345.0	1.0028985507246377	59685.0	5175.0	3.0
